playerid,namefirst,namelast,sackposition,sacktype,sackyards,sackend
20060032,Mathias,Kiwanuka,DE,0.5,-3,in bounds
20090018,Robert,Ayers,DE,0.5,-8,in bounds
20080050,Calais,Campbell,DE,1,-8,in bounds
20090003,Tyson,Jackson,DE,1,-3,in bounds
20030056,Osi,Umenyiora,DE,1,-7,in bounds
20130049,Johnathan,Hankins,DT,1,-9,in bounds
20130081,Damontre,Moore,DE,1,-9,in bounds
20100226,George,Selvie,DE,1,-1,in bounds
20060191,Jeremy,Mincey,DE,1,-9,in bounds
20060032,Mathias,Kiwanuka,DE,1,0,in bounds
20110011,J.J.,Watt,DE,1,-8,in bounds
20080660,Jameel,McClain,LB,0.5,-6,in bounds
20070221,Trumaine,McBride,CB,1,-1,in bounds
20140166,Jonathan,Newsome,DE,1,-8,in bounds
20090018,Robert,Ayers,DE,1,-9,in bounds
20140166,Jonathan,Newsome,DE,1,0,in bounds
20140576,Zach,Kerr,NT,1,-2,in bounds
20050031,Mike,Patterson,DT,1,-4,in bounds
20120090,Jake,Bequette,DE,1,-3,in bounds
20140198,Zach,Moore,DL,1,-8,in bounds
20030608,Israel,Idonije,DE,1,-9,in bounds
20030608,Israel,Idonije,DE,1,-6,in bounds
20110785,Mark,Herzlich,LB,1,-2,in bounds
20100015,Jason,Pierre-Paul,DE,1,-9,in bounds
20120239,Markus,Kuhn,DT,1,-7,in bounds
20100015,Jason,Pierre-Paul,DE,1,-12,in bounds
20130017,Jarvis,Jones,LB,1,-8,in bounds
20120239,Markus,Kuhn,DT,1,-5,in bounds
20140678,Jordan,Stanton,DE,1,0,in bounds
20090018,Robert,Ayers,DE,1,-8,in bounds
20140150,Aaron,Lynch,LB,1,-8,in bounds
20070097,Ray,McDonald,DT,1,-6,in bounds
20140150,Aaron,Lynch,LB,1,-9,in bounds
20030700,Cullen,Jenkins,DT,1,-8,in bounds
20130049,Johnathan,Hankins,DT,0.5,-4,in bounds
20140174,Devon,Kennard,LB,0.5,-3,in bounds
20110016,Ryan,Kerrigan,LB,1,-12,in bounds
20100015,Jason,Pierre-Paul,DE,1,-9,in bounds
20130049,Johnathan,Hankins,DT,1,-12,in bounds
20100015,Jason,Pierre-Paul,DE,1,-7,in bounds
20130049,Johnathan,Hankins,DT,1,-4,in bounds
