playerid,namefirst,namelast,intposition,int,intyards,inttd
19980044,Patrick,Surtain,CB,1,2,0
20000152,Arturo,Freeman,S,1,-2,0
20040039,Daryl,Smith,LB,1,5,0
19970419,Sammy,Knight,S,1,0,0
19970419,Sammy,Knight,S,1,32,0
19990441,Brendon,Ayanbadejo,LB,1,2,0
20000152,Arturo,Freeman,S,1,14,0
20000152,Arturo,Freeman,S,1,47,0
19960071,Donnie,Abraham,CB,1,66,1
20030053,Victor,Hobson,LB,1,2,0
19980044,Patrick,Surtain,CB,1,0,0
19980117,Deshea,Townsend,CB,1,0,0
20030016,Troy,Polamalu,S,1,10,0
19970419,Sammy,Knight,S,1,0,0
19980046,Samari,Rolle,CB,1,0,0
20010060,Andre,Dyson,CB,1,11,0
20020041,Lamont,Thompson,S,1,37,1
20020619,Quentin,Harris,S,1,0,0
20010054,Michael,Stone,CB,1,0,0
19930196,Brock,Marion,S,1,7,0
19990023,Antoine,Winfield,CB,1,3,0
19990009,Chris,Claiborne,LB,1,15,1
19980025,Donovin,Darius,S,1,16,0
20040136,Gibril,Wilson,S,1,39,0
20010022,Will,Allen,CB,1,11,0
20020105,Brian,Williams,CB,1,0,0
20010563,Brian,Russell,S,1,41,0
20040053,Michael,Boulware,SS,1,0,0
20020415,Matt,Stanley,FB,1,0,0
19990023,Antoine,Winfield,CB,1,30,0
20020038,Raonall,Smith,LB,1,19,0
19950034,Terrance,Shaw,S,1,22,0
20040502,Randall,Gay,CB,1,13,0
20030036,Eugene,Wilson,DB,1,0,0
19960086,Tedy,Bruschi,LB,1,29,0
19930198,Troy,Brown,WR,1,17,0
20010021,Nate,Clements,CB,1,35,0
20030239,Tully,Banta-Cain,LB,1,4,0
20030120,Asante,Samuel,CB,1,34,1
19930198,Troy,Brown,WR,1,5,0
19960086,Tedy,Bruschi,LB,1,5,0
20000547,Nick,Harper,DB,1,12,0
19940145,Rodney,Harrison,S,1,9,0
20030039,Rashean,Mathis,CB,1,-14,0
19960127,Juran,Bolden,CB,1,0,0
19980044,Patrick,Surtain,CB,1,0,0
20040502,Randall,Gay,CB,1,10,0
19940004,Willie,McGinest,LB,1,27,0
19950023,Ty,Law,CB,1,0,0
20040053,Michael,Boulware,SS,1,0,0
20020653,Dwaine,Carpenter,S,1,31,0
19980012,Keith,Brooking,LB,1,27,0
19960063,Aaron,Beasley,CB,1,0,0
19990087,Mike,McKenzie,CB,1,0,0
19990087,Mike,McKenzie,CB,1,0,0
19980043,Artrell,Hawkins,CB,1,9,0
20020073,Will,Witherspoon,LB,1,23,0
19990031,Al,Wilson,LB,1,7,1
19990007,Champ,Bailey,CB,1,0,0
20010087,Reggie,Hayward,DE,1,76,0
20000085,Greg,Wesley,S,1,2,0
19990087,Mike,McKenzie,CB,1,14,0
19990425,Orlando,Ruff,LB,1,0,0
20000152,Arturo,Freeman,DB,1,78,0
19920029,Ashley,Ambrose,CB,1,0,0
19990023,Antoine,Winfield,CB,1,56,0
19990421,Fakhir,Brown,CB,1,0,0
20020057,Jon,McGraw,FS,1,9,0
20010449,Fred,Booker,CB,1,57,0
19920029,Ashley,Ambrose,CB,1,0,0
20040053,Michael,Boulware,SS,1,0,0
19920029,Ashley,Ambrose,CB,1,19,0
19980045,Brian,Kelly,CB,1,10,0
20000048,Jason,Webster,CB,1,18,0
19960070,Brady,Smith,DE,1,1,0
19990010,Chris,McAlister,DB,1,23,1
20040110,Nathan,Vasher,CB,1,41,0
19990147,Jerry,Azumah,CB,1,5,0
20040136,Gibril,Wilson,S,1,0,0
20030217,Curry,Burns,S,1,12,0
19990085,Dat,Nguyen,LB,1,-2,0
20020175,Chris,Cash,CB,1,0,0
20030537,Quintin,Mikell,S,1,0,0
19960061,Brian,Dawkins,FS,1,0,0
